day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-11-17,2.303990736884368,1.0,0.42364796343003197,1.0,1.0
2025-11-18,-0.130892647042302,1.0,-0.26682957916750943,1.0,1.0
2025-11-19,-1.5828880196991486,0.9969558967424444,0.7222782830610582,0.8115735833483985,2.0
2025-11-20,-0.05042242041781987,0.10939699550066989,0.7068919260490522,0.33187307782998043,2.0
2025-11-21,-0.6394417509921637,1.0,-0.025773417775327236,1.0,1.0
2025-11-22,-0.7727166885790241,1.0,0.064428242616586,1.0,1.0
2025-11-23,0.10049656048329765,0.8808386784294784,0.49764136048323904,1.3995350434057228,3.0
2025-11-24,0.6582352728798975,1.0,-2.4363350316971517,1.0,1.0
2025-11-26,0.18480947168330863,0.5938187328106553,-0.48150670525011297,0.9365905216987822,3.0
2025-11-27,0.22381780467513462,0.7759431222737445,-0.4509621212173219,0.609338069539794,5.0
2025-11-28,0.103589218441164,1.1084104498413978,0.6021054423016606,0.32113003318238725,8.0
2025-11-29,-0.49831446423650827,0.23061023639848718,0.4266523573319658,0.21250081232864082,4.0
2025-11-30,0.12871243290815493,0.7488583818743563,-1.3988596837126066,1.4672117077474898,2.0
